id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3918895,19125818,"Aghern Upper, Fermoy, Co. Cork",168000.0,N/A,,2,1,Detached,2022-07-04,G,,,52.0973,-8.159625,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-aghern-upper-fermoy-co-cork/3918895
3904340,18997646,"Kilcrone Cottage, Kilcrone, Cloyne, Co. Cork",375000.0,N/A,,3,2,Detached,2022-08-05,G,101849594,566.37 kWh/m2/yr,51.854049,-8.117978,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-kilcrone-cottage-kilcrone-cloyne-co-cork/3904340
3903756,18989781,"1 The Fairways, Castle Rock, Midleton, Co. Cork",395000.0,156,156 m²,4,3,Detached,2022-08-10,B3,114499304,148.12 kWh/m2/yr,51.909671,-8.198613,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-1-the-fairways-castle-rock-midleton-co-cork/3903756
3894667,18898974,"39 Woodview, Killeagh, Co. Cork",300000.0,N/A,,3,3,Detached,2022-08-09,C1,,,51.939174,-7.990448,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-39-woodview-killeagh-co-cork/3894667
3894553,18897517,"Lahard, Whitegate, Co. Cork",250000.0,125,125 m²,3,2,Detached,2022-08-05,G,114865942,572.11 kWh/m2/yr,51.793689,-8.167409,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-lahard-whitegate-co-cork/3894553
3747428,18214398,"Laccarue, West End, Carrigtwohill, Co. Cork",350000.0,116,116 m²,3,3,Detached,2022-08-05,E1,114719461,308.15 kWh/m2/yr,51.909017,-8.26782,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-laccarue-west-end-carrigtwohill-co-cork/3747428
3819194,18809083,"66 Killeagh Gardens, Killeagh, Co. Cork",280000.0,N/A,,3,2,Detached,2022-08-09,SI_666,,,51.940967,-7.997695,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-66-killeagh-gardens-killeagh-co-cork/3819194
3811379,18739887,"Pairc an Chosain, Garryvoe Road, Ladysbridge, Co. Cork",475000.0,N/A,,4,3,Detached,2022-06-24,A2,,,51.91462439937831,-8.173243118095058,New Homes,EAST_CORK_CORK,http://www.daft.ie/new-home-for-sale/detached-house-type-a-pairc-an-chosain-pairc-an-chosain-garryvoe-road-ladysbridge-co-cork/3811379
3811380,18739888,"Pairc an Chosain, Garryvoe Road, Ladysbridge, Co. Cork",525000.0,N/A,,4,3,Detached,2022-06-24,A2,,,51.91462439937831,-8.173243118095058,New Homes,EAST_CORK_CORK,http://www.daft.ie/new-home-for-sale/detached-house-type-a1-pairc-an-chosain-pairc-an-chosain-garryvoe-road-ladysbridge-co-cork/3811380
3811382,18739889,"Pairc an Chosain, Garryvoe Road, Ladysbridge, Co. Cork",565000.0,N/A,,4,4,Detached,2022-06-24,A2,,,51.91462439937831,-8.173243118095058,New Homes,EAST_CORK_CORK,http://www.daft.ie/new-home-for-sale/detached-house-type-b-pairc-an-chosain-pairc-an-chosain-garryvoe-road-ladysbridge-co-cork/3811382
3806102,18702431,"Mary Street, Youghal, Co. Cork",175000.0,81,81 m²,3,1,Detached,2022-08-10,E1,109539742,337.82 kWh/m2/yr,51.950136,-7.844879,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-mary-street-youghal-co-cork/3806102
3804538,18685135,"5 The Willows, Gort an Oir, Castlemartyr, Midleton, Co. Cork",350000.0,141,141 m²,4,3,Detached,2022-08-10,C1,114356538,161.64 kWh/m2/yr,51.9135626,-8.0499937,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-5-the-willows-gort-an-oir-castlemartyr-midleton-co-cork/3804538
3799208,18640213,"Cobh Cross, Carrigtwohill, Co. Cork",315000.0,77,77 m²,3,1,Detached,2022-08-10,G,114815616,485.65 kWh/m2/yr,51.907512,-8.287321,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-cobh-cross-carrigtwohill-co-cork/3799208
3268971,15119902,"Lyre, Tallow",495000.0,N/A,,4,4,Detached,2022-07-29,C2,,,52.05509189854274,-8.030488812305236,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-lyre-tallow/3268971
2328403,9180774,"Elmbury, Carrigane, Carrigtwohill, Co. Cork",Price on Application,N/A,,3 & 4 bed,,Houses,2022-06-20,A2,,,51.91312984275672,-8.246178893304005,New Homes,EAST_CORK_CORK,http://www.daft.ie/new-home-for-sale/elmbury-carrigane-carrigtwohill-co-cork/2328403
3697962,17772296,"6 Ashwood Crescent, Ashlin Road, Midleton, Co. Cork",429950.0,N/A,,4,3,Detached,2022-08-10,D1,107373383,,51.907784,-8.166123,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-6-ashwood-crescent-ashlin-road-midleton-co-cork/3697962
3668434,17512325,"Aerie, Jamesbrook, Midleton, Co. Cork",680000.0,279,279 m²,4,3,Detached,2022-08-09,D1,,,51.858614,-8.198692,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-aerie-jamesbrook-midleton-co-cork/3668434
2835751,13281740,"Catherine Street, Youghal, Co. Cork",400000.0,123,123 m²,3,2,Detached,2022-05-23,F,111159182,438.56 kWh/m2/yr,51.954487,-7.847534,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-catherine-street-youghal-co-cork/2835751
3570336,16449341,"Rose Cottage, Rock Street, Cloyne, Midleton, Co. Cork",170000.0,98,98 m²,3,2,Detached,2022-07-18,E1,114413867,310.72 kWh/m2/yr,51.86305502585938,-8.120094507238122,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-rose-cottage-rock-street-cloyne-midleton-co-cork/3570336
3473034,15743425,"15 Bruach Abhainn, Mogeely, Midleton, Co. Cork",480000.0,N/A,,4,3,Detached,2022-08-10,B2,,,51.9331439378461,-8.043969351475056,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-15-bruach-abhainn-mogeely-midleton-co-cork/3473034
3462808,15644425,"Rockview, Rocky Road, Midleton, Co. Cork",695000.0,186,186 m²,4,2,Detached,2022-08-03,D2,107416307,,51.906359,-8.155012,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-rockview-rocky-road-midleton-co-cork/3462808
2875896,13556399,"No. 5 Bruach Abhainn, Mogeely, Castlemartyr, Co. Cork",480000.0,224,224 m²,4,3,Detached,2022-08-10,B2,,,51.9345761,-8.0562796,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-no-5-bruach-abhainn-mogeely-castlemartyr-co-cork/2875896
3184383,14469917,"17 Cois Na Criann, Ballymaloe Road, Midleton, Co. Cork",360000.0,165,165 m²,4,4,Detached,2022-08-10,A3,,,51.867807,-8.113621,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-17-cois-na-criann-ballymaloe-road-midleton-co-cork/3184383
3918895,19125818,"Aghern Upper, Fermoy, Co. Cork",168000.0,N/A,,2,1,Detached,2022-07-04,G,,,52.0973,-8.159625,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-aghern-upper-fermoy-co-cork/3918895
3904340,18997646,"Kilcrone Cottage, Kilcrone, Cloyne, Co. Cork",375000.0,N/A,,3,2,Detached,2022-08-05,G,101849594,566.37 kWh/m2/yr,51.854049,-8.117978,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-kilcrone-cottage-kilcrone-cloyne-co-cork/3904340
3903756,18989781,"1 The Fairways, Castle Rock, Midleton, Co. Cork",395000.0,156,156 m²,4,3,Detached,2022-08-10,B3,114499304,148.12 kWh/m2/yr,51.909671,-8.198613,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-1-the-fairways-castle-rock-midleton-co-cork/3903756
3894667,18898974,"39 Woodview, Killeagh, Co. Cork",300000.0,N/A,,3,3,Detached,2022-08-09,C1,,,51.939174,-7.990448,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-39-woodview-killeagh-co-cork/3894667
3894553,18897517,"Lahard, Whitegate, Co. Cork",250000.0,125,125 m²,3,2,Detached,2022-08-05,G,114865942,572.11 kWh/m2/yr,51.793689,-8.167409,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-lahard-whitegate-co-cork/3894553
3747428,18214398,"Laccarue, West End, Carrigtwohill, Co. Cork",350000.0,116,116 m²,3,3,Detached,2022-08-05,E1,114719461,308.15 kWh/m2/yr,51.909017,-8.26782,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-laccarue-west-end-carrigtwohill-co-cork/3747428
3819194,18809083,"66 Killeagh Gardens, Killeagh, Co. Cork",280000.0,N/A,,3,2,Detached,2022-08-09,SI_666,,,51.940967,-7.997695,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-66-killeagh-gardens-killeagh-co-cork/3819194
3811379,18739887,"Pairc an Chosain, Garryvoe Road, Ladysbridge, Co. Cork",475000.0,N/A,,4,3,Detached,2022-06-24,A2,,,51.91462439937831,-8.173243118095058,New Homes,EAST_CORK_CORK,http://www.daft.ie/new-home-for-sale/detached-house-type-a-pairc-an-chosain-pairc-an-chosain-garryvoe-road-ladysbridge-co-cork/3811379
3811380,18739888,"Pairc an Chosain, Garryvoe Road, Ladysbridge, Co. Cork",525000.0,N/A,,4,3,Detached,2022-06-24,A2,,,51.91462439937831,-8.173243118095058,New Homes,EAST_CORK_CORK,http://www.daft.ie/new-home-for-sale/detached-house-type-a1-pairc-an-chosain-pairc-an-chosain-garryvoe-road-ladysbridge-co-cork/3811380
3811382,18739889,"Pairc an Chosain, Garryvoe Road, Ladysbridge, Co. Cork",565000.0,N/A,,4,4,Detached,2022-06-24,A2,,,51.91462439937831,-8.173243118095058,New Homes,EAST_CORK_CORK,http://www.daft.ie/new-home-for-sale/detached-house-type-b-pairc-an-chosain-pairc-an-chosain-garryvoe-road-ladysbridge-co-cork/3811382
3806102,18702431,"Mary Street, Youghal, Co. Cork",175000.0,81,81 m²,3,1,Detached,2022-08-10,E1,109539742,337.82 kWh/m2/yr,51.950136,-7.844879,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-mary-street-youghal-co-cork/3806102
3804538,18685135,"5 The Willows, Gort an Oir, Castlemartyr, Midleton, Co. Cork",350000.0,141,141 m²,4,3,Detached,2022-08-10,C1,114356538,161.64 kWh/m2/yr,51.9135626,-8.0499937,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-5-the-willows-gort-an-oir-castlemartyr-midleton-co-cork/3804538
3799208,18640213,"Cobh Cross, Carrigtwohill, Co. Cork",315000.0,77,77 m²,3,1,Detached,2022-08-10,G,114815616,485.65 kWh/m2/yr,51.907512,-8.287321,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-cobh-cross-carrigtwohill-co-cork/3799208
3268971,15119902,"Lyre, Tallow",495000.0,N/A,,4,4,Detached,2022-07-29,C2,,,52.05509189854274,-8.030488812305236,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-lyre-tallow/3268971
2328403,9180774,"Elmbury, Carrigane, Carrigtwohill, Co. Cork",Price on Application,N/A,,3 & 4 bed,,Houses,2022-06-20,A2,,,51.91312984275672,-8.246178893304005,New Homes,EAST_CORK_CORK,http://www.daft.ie/new-home-for-sale/elmbury-carrigane-carrigtwohill-co-cork/2328403
3697962,17772296,"6 Ashwood Crescent, Ashlin Road, Midleton, Co. Cork",429950.0,N/A,,4,3,Detached,2022-08-10,D1,107373383,,51.907784,-8.166123,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-6-ashwood-crescent-ashlin-road-midleton-co-cork/3697962
3668434,17512325,"Aerie, Jamesbrook, Midleton, Co. Cork",680000.0,279,279 m²,4,3,Detached,2022-08-09,D1,,,51.858614,-8.198692,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-aerie-jamesbrook-midleton-co-cork/3668434
2835751,13281740,"Catherine Street, Youghal, Co. Cork",400000.0,123,123 m²,3,2,Detached,2022-05-23,F,111159182,438.56 kWh/m2/yr,51.954487,-7.847534,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-catherine-street-youghal-co-cork/2835751
3570336,16449341,"Rose Cottage, Rock Street, Cloyne, Midleton, Co. Cork",170000.0,98,98 m²,3,2,Detached,2022-07-18,E1,114413867,310.72 kWh/m2/yr,51.86305502585938,-8.120094507238122,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-rose-cottage-rock-street-cloyne-midleton-co-cork/3570336
3473034,15743425,"15 Bruach Abhainn, Mogeely, Midleton, Co. Cork",480000.0,N/A,,4,3,Detached,2022-08-10,B2,,,51.9331439378461,-8.043969351475056,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-15-bruach-abhainn-mogeely-midleton-co-cork/3473034
3462808,15644425,"Rockview, Rocky Road, Midleton, Co. Cork",695000.0,186,186 m²,4,2,Detached,2022-08-03,D2,107416307,,51.906359,-8.155012,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-rockview-rocky-road-midleton-co-cork/3462808
2875896,13556399,"No. 5 Bruach Abhainn, Mogeely, Castlemartyr, Co. Cork",480000.0,224,224 m²,4,3,Detached,2022-08-10,B2,,,51.9345761,-8.0562796,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-no-5-bruach-abhainn-mogeely-castlemartyr-co-cork/2875896
3184383,14469917,"17 Cois Na Criann, Ballymaloe Road, Midleton, Co. Cork",360000.0,165,165 m²,4,4,Detached,2022-08-10,A3,,,51.867807,-8.113621,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-17-cois-na-criann-ballymaloe-road-midleton-co-cork/3184383
3993335,112861116,"54 Ashbrook, Castlelake, Carrigtwohill, Co. Cork",239000.0,104,104 m²,3,3,Terrace,2022-08-10,B3,105397087,130.47 kWh/m2/yr,51.910754,-8.274093,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/terraced-house-54-ashbrook-castlelake-carrigtwohill-co-cork/3993335
3991315,19737949,"Knockglass, Ladysbridge, Co. Cork",430000.0,218,218 m²,5,4,Detached,2022-08-05,C2,115359366,183.48 kWh/m2/yr,51.893215,-8.038898,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-knockglass-ladysbridge-co-cork/3991315
3992844,19757508,"34 Glebe Manor. At First Fix stage., Whitegate, Co. Cork",Price on Application,203,203 m²,5,4,Semi-D,2022-07-27,B2,,,51.822383,-8.231781,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/semi-detached-house-34-glebe-manor-at-first-fix-stage-whitegate-co-cork/3992844
3992214,19750910,"4 Riverdowns, Ladysbridge, Co. Cork",230000.0,100,100 m²,3,2,Semi-D,2022-08-08,C1,115362915,,51.898981,-8.043816,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/semi-detached-house-4-riverdowns-ladysbridge-co-cork/3992214
3992087,19749223,"90 Rooskagh Valley, Shanagarry, Midleton, Co. Cork",265000.0,109,109 m²,3,4,Semi-D,2022-08-10,C1,105995385,157043.0 kWh/m2/yr,51.855813,-8.029508,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/semi-detached-house-90-rooskagh-valley-shanagarry-midleton-co-cork/3992087
3991732,19743774,"1 Lauriston Mews, The Park, Midleton, Co. Cork",275000.0,102,102 m²,3,3,End of Terrace,2022-08-08,C2,115222341,198.75 kWh/m2/yr,51.918223,-8.166848,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/end-of-terrace-house-1-lauriston-mews-the-park-midleton-co-cork/3991732
3990700,19731468,"2 Flemings Court, Tallow Street, Youghal, Co. Cork",100000.0,33,33 m²,2,1,Townhouse,2022-07-21,G,115359093,,51.958358,-7.853469,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/townhouse-2-flemings-court-tallow-street-youghal-co-cork/3990700
3990654,19729936,"5 Main Street, Carrigtwohill, Carrigtwohill, Co. Cork",300000.0,N/A,,3,3,Townhouse,2022-07-25,D1,,,51.909471,-8.261525,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/townhouse-5-main-street-carrigtwohill-carrigtwohill-co-cork/3990654
3990127,19726010,"32 The Willows, Fota Rock, Carrigtwohill, Co. Cork",230000.0,72,72 m²,2,2,Terrace,2022-07-21,C1,114639560,161.75 kWh/m2/yr,51.911764,-8.250693,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/terraced-house-32-the-willows-fota-rock-carrigtwohill-co-cork/3990127
3989557,19720240,"2 Castlemanor Crescent, Castlemartyr, Co. Cork",Price on Application,102,102 m²,3,3,Semi-D,2022-07-29,C3,115354888,214.27 kWh/m2/yr,51.910909,-8.050383,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/semi-detached-house-2-castlemanor-crescent-castlemartyr-co-cork/3989557
3988501,19706857,"Main Street, Ballycotton, Midleton, Co. Cork",450000.0,158,158 m²,2,1,Semi-D,2022-08-05,C1,800848863,463.5 kWh/m2/yr,51.829813,-8.009867,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/semi-detached-house-main-street-ballycotton-midleton-co-cork/3988501
3987334,19695083,"24 Cois Na Habhann, Midleton, Co. Cork",260000.0,N/A,,3,3,Semi-D,2022-08-10,B3,101014397,,51.8652,-8.118181,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/semi-detached-house-24-cois-na-habhann-midleton-co-cork/3987334
3984861,19672171,"22 The Meadows, Té­r Cluain, Midleton, Co. Cork",285000.0,106,106 m²,3,3,Semi-D,2022-08-09,B3,113245013,126.18 kWh/m2/yr,51.930546,-8.189711,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/semi-detached-house-22-the-meadows-t-r-cluain-midleton-co-cork/3984861
3984695,19671372,"12 Tom Clarke's Terrace, Midleton, Co. Cork",275000.0,106,106 m²,4,2,End of Terrace,2022-07-18,C3,108251463,201.83 kWh/m2/yr,51.920507,-8.171821,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/end-of-terrace-house-12-tom-clarkes-terrace-midleton-co-cork/3984695
3982988,19650927,"Island View, Ballycrennane, Garryvoe, Co. Cork",220000.0,107,107 m²,3,1,Detached,2022-08-05,E2,115203119,363.24 kWh/m2/yr,51.871459,-7.970229,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-island-view-ballycrennane-garryvoe-co-cork/3982988
3983404,19655614,"Ballinaglogh, Midleton, Co. Cork",185000.0,63,63 m²,3,1,Detached,2022-07-18,G,114444615,640.46 kWh/m2/yr,51.979327,-8.277938,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-ballinaglogh-midleton-co-cork/3983404
3983385,19655558,"12 Ban Na Greine, Carrigtwohill, Co. Cork",245000.0,83,83 m²,3,2,Semi-D,2022-08-09,C3,,,51.909912,-8.263662,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/semi-detached-house-12-ban-na-greine-carrigtwohill-co-cork/3983385
3983358,19653771,"66 The Willows, Gort An Óir, Castlemartyr, Co. Cork",245000.0,107,107 m²,3,3,Semi-D,2022-08-04,C1,114733454,161.63 kWh/m2/yr,51.914147,-8.049554,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/semi-detached-house-66-the-willows-gort-an-ir-castlemartyr-co-cork/3983358
3983046,19650958,"16 Meadowlands, Broomfield, Midleton, Co. Cork",350000.0,111,111 m²,4,3,Semi-D,2022-08-03,C1,115350258,,51.925499,-8.16856,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/semi-detached-house-16-meadowlands-broomfield-midleton-co-cork/3983046
3983002,19650934,"Beanfield, Youghal, Co. Cork",235000.0,N/A,,2,1,Detached,2022-08-10,C3,,,51.928215,-7.899451,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-beanfield-youghal-co-cork/3983002
3982508,19645132,"Barryscourt, Carrigtwohill, Midleton, Co. Cork",280000.0,102,102 m²,4,1,Detached,2022-08-10,F,115205544,104.53 kWh/m2/yr,51.901884,-8.256115,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-barryscourt-carrigtwohill-midleton-co-cork/3982508
3981015,19627953,"1 Wilmount Terrace, Cobh, Co. Cork",550000.0,137,137 m²,3,2,End of Terrace,2022-07-14,B2,,,51.852454,-8.283691,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/end-of-terrace-house-1-wilmount-terrace-cobh-co-cork/3981015
3979659,19622657,"Curraheen, Ballymacoda, Co. Cork",425000.0,107,107 m²,4,1,Detached,2022-08-05,D2,112498332,285.81 kWh/m2/yr,51.917667,-7.963156,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-curraheen-ballymacoda-co-cork/3979659
3978523,19612265,"Ballinteosig, Killeagh, Co. Cork",495000.0,325,325 m²,5,4,Detached,2022-08-05,B2,115048035,104.39 kWh/m2/yr,52.000452,-8.007791,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-ballinteosig-killeagh-co-cork/3978523
3975605,19598036,"35 Harbour Row, Cobh, Co. Cork",485000.0,209,209 m²,4,3,Terrace,2022-07-12,SI_666,,,51.851404,-8.287117,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/terraced-house-35-harbour-row-cobh-co-cork/3975605
3975496,19597992,"15 Saint Patrick's Square, Cobh, Co. Cork",140000.0,N/A,,3,1,Terrace,2022-08-08,G,,,51.855393,-8.278373,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/terraced-house-15-saint-patricks-square-cobh-co-cork/3975496
3975378,19595666,"15 Saint Patrick's Square, Cobh, Co. Cork","AMV: €140,000",72,72 m²,3,1,End of Terrace,2022-08-10,G,,,51.855393,-8.278373,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/end-of-terrace-house-15-saint-patricks-square-cobh-co-cork/3975378
3973858,19588038,"66 Willowbank Court, Midleton, Co. Cork",425000.0,130,130 m²,4,3,Detached,2022-08-05,C3,115232316,203.14 kWh/m2/yr,51.927527,-8.185418,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-66-willowbank-court-midleton-co-cork/3973858
3972412,19575032,"Merton Lodge, French's Walk, Cobh, Co. Cork",190000.0,56,56 m²,2,1,Detached,2022-07-19,SI_666,,,51.853204,-8.27867,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/detached-house-merton-lodge-frenchs-walk-cobh-co-cork/3972412
3971464,19569084,"29 Saint Mary's Terrace, Midleton, Co. Cork",240000.0,75,75 m²,2,2,Terrace,2022-08-10,C1,113038590,162.21 kWh/m2/yr,51.907855,-8.167588,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/terraced-house-29-saint-marys-terrace-midleton-co-cork/3971464
3971388,19569029,"16 Shanagarry Holiday Village, Shanagarry, Midleton, Co. Cork",230000.0,111,111 m²,4,2,Terrace,2022-08-10,C2,109930453,193.56 kWh/m2/yr,51.855736,-8.03203,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/terraced-house-16-shanagarry-holiday-village-shanagarry-midleton-co-cork/3971388
3970374,19559819,"38 Oakbrook, Castlelake, Carrigtwohill, Co. Cork",220000.0,74,74 m²,2,2,Terrace,2022-08-10,C1,114356488,172.96 kWh/m2/yr,51.91096,-8.271957,Buy,EAST_CORK_CORK,http://www.daft.ie/for-sale/terraced-house-38-oakbrook-castlelake-carrigtwohill-co-cork/3970374
