StationDesc,StationAlias,StationLatitude,StationLongitude,StationCode,StationId
Sligo,,54.2723,-8.48249,SLIGO,180
Collooney,,54.1871,-8.49453,COLNY,177
Ballina,,54.1085,-9.16146,BALNA,167
Ballymote,,54.0887,-8.52088,BMOTE,176
Dundalk,,54.0007,-6.41291,DDALK,123
Foxford,,53.983,-9.1364,FXFRD,193
Boyle,,53.9676,-8.30438,BOYLE,175
Carrick on Shannon,,53.9383,-8.10657,CKOSH,174
Dromod,,53.8591,-7.9164,DRMOD,173
Castlebar,,53.8471,-9.2873,CLBAR,168
Manulla Junction,,53.828,-9.19296,MNLAJ,194
Westport,,53.7955,-9.50885,WPORT,169
Ballyhaunis,,53.7616,-8.7584,BYHNS,165
Castlerea,,53.7612,-8.48448,CSREA,164
Longford,,53.7243,-7.79574,LFORD,172
Claremorris,,53.7204,-9.00222,CLMRS,166
Drogheda,,53.712,-6.33538,DGHDA,120
Edgeworthstown,,53.6888,-7.60299,ETOWN,171
Laytown,,53.6794,-6.24253,LTOWN,119
Gormanston,,53.638,-6.21705,GSTON,117
Roscommon,,53.6243,-8.19631,RSCMN,163
Balbriggan,,53.6118,-6.18226,BBRGN,116
Skerries,,53.5741,-6.11933,SKRES,115
Mullingar,,53.523,-7.34608,MLGAR,153
Rush and Lusk,,53.5201,-6.1439,RLUSK,114
Donabate,,53.4855,-6.15134,DBATE,113
Malahide,,53.4509,-6.15649,MHIDE,112
M3 Parkway,,53.4349,-6.46898,M3WAY,86
Athlone,,53.4273,-7.93683,ATLNE,156
Dunboyne,,53.4175,-6.46483,DBYNE,85
Portmarnock,,53.4169,-6.1512,PMNCK,111
Enfield,,53.4157,-6.83395,ENFLD,83
Kilcock,,53.4043,-6.67892,KCOCK,90
Clongriffin,,53.4032,-6.14839,GRGRD,187
Sutton,,53.392,-6.11448,SUTTN,107
Bayside,,53.3917,-6.13678,BYSDE,106
Howth Junction,Donaghmede ( Howth Junction ),53.3909,-6.15672,HWTHJ,105
Howth,,53.3891,-6.07401,HOWTH,108
Kilbarrack,,53.387,-6.16163,KBRCK,104
Hansfield,,53.3853,-6.44205,HAFLD,87
Clonsilla,,53.3831,-6.4242,CLSLA,94
Castleknock,,53.3816,-6.37149,CNOCK,96
Raheny,,53.3815,-6.17699,RAHNY,103
Harmonstown,,53.3786,-6.19131,HTOWN,102
Maynooth,,53.378,-6.58993,MYNTH,91
Navan Road Parkway,Phoenix Park,53.3777,-6.34591,PHNPK,89
Coolmine,,53.3776,-6.39072,CMINE,95
Ashtown,,53.3755,-6.33135,ASHTN,97
Pelletstown,,53.3752,-6.31388,PELTN,1520
Leixlip (Confey),,53.3743,-6.48624,LXCON,93
Killester,,53.373,-6.20442,KLSTR,101
Broombridge,,53.3725,-6.29869,BBRDG,98
Leixlip (Louisa Bridge),,53.3704,-6.50598,LXLSA,92
Drumcondra,,53.3632,-6.25908,DCDRA,99
Clontarf Road,,53.3629,-6.22753,CTARF,109
Dublin Connolly,Connolly,53.3531,-6.24591,CNLLY,100
Docklands,,53.3509,-6.23929,DCKLS,84
Tara Street,,53.347,-6.25425,TARA,124
Dublin Heuston,Heuston,53.3464,-6.29461,HSTON,1
Dublin Pearse,Pearse,53.3433,-6.24829,PERSE,150
Woodlawn,,53.3432,-8.47231,WLAWN,158
Grand Canal Dock,,53.3397,-6.23773,GCDK,110
Clara,,53.3395,-7.61596,CLARA,73
Ballinasloe,,53.3363,-8.24081,BSLOE,157
Adamstown,,53.3353,-7,ADAMS,1075
Adamstown,,53.3353,-6.45233,ADAMF,975
Adamstown,,53.3353,-6.45233,ADMTN,75
Lansdowne Road,,53.3347,-6.22979,LDWNE,125
Park West and Cherry Orchard,Park West (Cherry Orchard ),53.334,-6.37868,CHORC,76
Park West and Cherry Orchard,Park West (Cherry Orchard ),53.334,-6.37868,PWESF,976
PARK WEST,Park West (Cherry Orchard ),53.334,-6.37868,PWESS,1076
Clondalkin,Fonthill ( Clondalkin ),53.3334,-6.40628,CLONS,1077
Clondalkin,Fonthill ( Clondalkin ),53.3334,-6.40628,CLONF,977
Clondalkin,Fonthill ( Clondalkin ),53.3334,-6.40628,CLDKN,77
Sandymount,,53.3281,-6.22116,SMONT,188
Hazelhatch,Celbridge (Hazelhatch ),53.3223,-6.52356,HZLCH,78
Hazelhatch,Celbridge (Hazelhatch ),53.3223,-6.52356,HAZEF,978
Hazelhatch,Celbridge (Hazelhatch ),53.3223,-6.52356,HAZES,1078
Attymon,,53.3212,-8.60608,ATMON,159
Sydney Parade,,53.3206,-6.21112,SIDNY,126
Booterstown,,53.3099,-6.19498,BTSTN,127
Blackrock,,53.3027,-6.17833,BROCK,128
Athenry,,53.3015,-8.74855,ATHRY,162
Seapoint,,53.2991,-6.16512,SEAPT,129
Salthill and Monkstown,Monkstown ( Salthill ),53.2954,-6.15206,SHILL,130
Dun Laoghaire,,53.2951,-6.13498,DLERY,131
Sandycove,Glasthule (Sandycove ),53.2878,-6.12712,SCOVE,132
Glenageary,,53.2812,-6.12289,GLGRY,133
Dalkey,,53.2756,-6.10333,DLKEY,134
Oranmore,,53.2751,-8.94792,ORNMR,161
Galway,,53.2736,-9.04696,GALWY,170
Tullamore,,53.2704,-7.49985,TMORE,72
Killiney,,53.2557,-6.11317,KILNY,135
Sallins,,53.2469,-6.66386,SALNS,79
Shankill,,53.2364,-6.11691,SKILL,136
Craughwell,,53.2252,-8.7359,CRGHW,184
Woodbrook,,53.22,-6.1101,WBROK,801
Bray,,53.2043,-6.10046,BRAY,140
Newbridge,,53.1855,-6.80807,NBRGE,4
Curragh,,53.1725,-6.86245,CURAH,5
Kildare,,53.163,-6.90802,KDARE,6
Ardrahan,,53.1572,-8.81483,ARHAN,183
Portarlington,,53.146,-7.18055,PTRTN,8
Monasterevin,,53.1454,-7.06361,MONVN,7
Greystones,,53.1442,-6.06085,GSTNS,141
Kilcoole,,53.107,-6.04112,KCOOL,139
Gort,,53.0653,-8.81595,GORT,182
Portlaoise,,53.0371,-7.30086,PTLSE,9
Athy,,52.992,-6.9762,ATHY,45
Wicklow,,52.9882,-6.05338,WLOW,142
Roscrea,,52.9607,-7.7941,RCREA,31
Cloughjordan,,52.9363,-8.0246,CJRDN,32
Rathdrum,,52.9295,-6.22641,RDRUM,143
Ballybrophy,,52.8999,-7.60259,BBRHY,11
Nenagh,,52.8605,-8.19471,NNAGH,33
Carlow,,52.8407,-6.92217,CRLOW,46
Ennis,,52.8386,-8.97491,ENNIS,181
Arklow,,52.7932,-6.15994,ARKLW,144
Templemore,,52.7878,-7.82293,TPMOR,12
Birdhill,,52.7656,-8.44247,BHILL,34
Sixmilebridge,,52.7376,-8.78427,SXMBR,185
Castleconnell,,52.7128,-8.49794,CCONL,35
Muine Bheag,Bagenalstown,52.699,-6.95213,MNEBG,47
Thurles,,52.6766,-7.82189,THRLS,13
Gorey,,52.6712,-6.29195,GOREY,145
Limerick,,52.6587,-8.62397,LMRCK,40
Kilkenny,,52.655,-7.24498,KKNNY,48
Thomastown,,52.523,-7.14891,THTWN,49
Enniscorthy,,52.5046,-6.56627,ECRTY,147
Limerick Junction,,52.5009,-8.20003,LMRKJ,16
Tipperary,,52.4701,-8.1625,TIPRY,41
Cahir,,52.3777,-7.92181,CAHIR,42
Clonmel,,52.3611,-7.69936,CLMEL,43
Carrick on Suir,,52.3487,-7.40354,CKOSR,44
Charleville,,52.3468,-8.65362,CVILL,19
Wexford,,52.3434,-6.4636,WXFRD,148
Campile,,52.2855,-6.93896,CPILE,52
Ballycullane,,52.2834,-6.83958,BCLAN,53
Rosslare Strand,,52.2726,-6.39254,RLSTD,58
Tralee,,52.271,-9.69846,TRLEE,28
Wellingtonbridge,,52.2678,-6.75392,WBDGE,54
Waterford,,52.2667,-7.1183,WFORD,50
Rosslare Europort,Rosslare Harbour,52.2531,-6.33493,RLEPT,60
Bridgetown,,52.2312,-6.54918,BRGTN,56
Farranfore,,52.1733,-9.55278,FFORE,27
Mallow,,52.1396,-8.65521,MLLOW,21
Banteer,,52.1287,-8.89793,BTEER,23
Rathmore,,52.0854,-9.21756,RMORE,25
Millstreet,,52.0776,-9.06973,MLSRT,24
Killarney,,52.0595,-9.50198,KLRNY,26
Midleton,,51.9212,-8.17579,MDLTN,68
Carrigtwohill,,51.9163,-8.26323,CGTWL,67
Glounthaune,,51.9112,-8.3254,GHANE,380
LittleIsland,Little Island,51.9078,-8.35466,LSLND,61
Cork,,51.9018,-8.4582,CORK,30
Fota,,51.896,-8.3183,FOTA,63
Carrigaloe,,51.8688,-8.32417,CGLOE,64
Rushbrooke,,51.8496,-8.32252,RBROK,65
Cobh,,51.8491,-8.29956,COBH,66